pays,ville,nom,poste
Canada,Montréal,Bibliothèque et Archives nationales du Québec,Responsable des relations avec les médias
Colombia,Bogotá,Museo de Arte Moderno de Bogotá,Community manager
Australia,Melbourne,Museums Australia (Victoria),Executive Director
Germany,Berlin,Museum of the city of Berlin,Social Media
France,Lezan,Musée des Poupées et des Nounours,Présidente de l'association
United States,New York City,1000Museums,Director of Marketing
Japan,Okayama,Nishie-residence,取締役
Russia,Moscow,Museum-panorama the Battle of Borodino,marketing department
United States,Cortland,The 1890 House Museum,Museum Coordinator
United Kingdom,London,18 Stafford Terrace,documention officer
United Kingdom,London,19 Princelet Street - museum of immigration,Chair 
Canada,Winnipeg,Gallery 1C03,Director/Curator
Russia,Moscow,State Historical Museum,social media manager
Austria,Wien,21er Haus,New Media
Japan,Tokyo,3331 Arts Chiyoda,広報
Italy,Savona,All About Apple Museum,VicePresident of All About Apple ONLUS
United States,Austin,Asian American Resource Center,Marketing Representative
France,Esteville,Centre Abbé-Pierre Emmaus,Agent d'accueil
United Kingdom,Sheffield,Abbeydale Industrial Hamlet,Events & Marketing Assistant
Australia,Caboolture,Abbey Museum of Art and Archaeology,Marketing Manager
Canada,Wolfville,Acadia University Art Gallery,Director/Curator
United States,Philadelphia,The Academy of Natural Sciences of Drexel University,Web and Social Media Manager
Canada,Montréal,Accès culture,stratège médias sociaux
United Kingdom,Nottingham,Access Artefacts,Artefact Loans Assistant
Spain,Madrid,Acción Cultural Española,Responsable de estrategia digital
United States,Chapel Hill,Ackland Art Museum,Director of Communications
Italy,Milano,ACMILAN,social media manager
United States,Cleveland,A Christmas Story House & Museum,Social Media Director
France,Paris,Bibliothèque nationale de France,Community Manager BnF
Mexico,Ciudad de México ,Acuario Inbursa,Community Manager
United States,Richmond,The American Civil War Museum,Marketing Manager
Japan,Yasugi,Adachi Museum of Art,広報課長
United States,Andover,Addison Gallery of American Art,Communications Coordinator
United States,Blue Mountain Lake,The Adirondack Museum,Marketing Assistant
United States,Chicago,Adler Planetarium,Web and Social Media Manager
Russia,Maykop,National Museum of Republic of Adygheya,научный сотрудник
Canada,Kingston,Agnes Etherington Art Centre,Social Media Coordinator
France,Toulouse,AEROSCOPIA,ASSISTANTE MAKETING ET COMMUNICATION
United States,"Washington, D.C.",American Friends of Chartres,Volunteer Digital Media & Research Contributor
United States,New York City,American Friends of the Louvre,Manager of Programs and Special Events
Serbia,Belgrade,The Museum of African Art: the Veda and dr Zdravko Pečar Collection,curator/PR
Spain,Galicia,Afundación,Marketing on line
Canada,Toronto,Art Gallery of Mississauga,Membership Coordinator
Canada,Ottawa,Canada Agriculture and Food Museum,Social Media Officer
Unites States,San Diego,Agora Galleries,Owner/Manager
Canada,Toronto,Art Gallery of Ontario,Web and Social Media Content Coordinator
France,Montpellier,Agropolis Fondation,Responsable communication
France,Paris,AhAhAh!,Chef de projet
United Kingdom,Horsham,Ancient History Encyclopedia,Communications Director
United Kingdom,,Association of Independent Museums,Marketing & Projects Manager
Japan,Hokkaido,The ainu museum,伝承課教育普及係
Switzerland,Genève,Musée de Plainpalais,vice président
United States,"Washington, D.C.",Smithsonian's National Air and Space Museum,Manager of Online Engagement
Egypt,Minia,Akhenaten museum,General director of Akhenaten Museum
Russia,Saint-Petersburg, Anna Akhmatova Museum at the Fountain House,PR Manager
Japan,Tokyo,Akita Museum of  Modern Art,学芸主事
United States,Akron,Akron Art Museum,"Design, Marketing and Communications Coordinator"
France,Paris,Aktinos Gallery,Director
Spain,Pasaia San Pedro,Albaola la Factoría Marítima Vasca,responsable de comunicación
Austria,Wien,Albertina,Pressemitarbeiterin
United States,Buffalo,Albright-Knox Art Gallery,Digital Content Manager
Italy,Maglie,Museo Civico di Paleontologia e Paletnologia,Direttore
Spain,Córdoba,Alcázar de los Reyes Cristianos,Gestión del patrimonio y Redes Sociales
