EXpéditeur,Destinataire,Date d'eXpédition,Lieu d'eXpédition,Lieu de réception,,ville,Lat,
Brederode,Sainte-Catherine,1618-03-07,,,,Bruxelles,"50.8503396, 4.351710300000036",http://maps.nypl.org/warper/maps/7428#Export_tab
Boissise,Sainte-Catherine,1618-12-18,La Haye,Heidelberg,,La Haye,"52.086002, 4.302144",
Du Maurier,Sainte-Catherine,1618-12-18,La Haye,Heidelberg,,Heidelberg,"49.4145008, 8.662895800000001",
Brederode,Sainte-Catherine,1620-08-31,Francfort,Heidelberg,,Venise,"45.433723, 12.337141999999972",
Du Maurier,Sainte-Catherine,1620-04-02,La Haye,Heidelberg,,Vienne,"48.2081743, 16.37381890000006",
Du Maurier,Sainte-Catherine,1620-09-01,La Haye,Heidelberg,,Paris,"48.860360, 2.338392",
Du Maurier,Sainte-Catherine,1624-05-28,Compiègne,Heidelberg,,Hanau,"50.119303, 8.923768",
Sainte-Catherine,Miron,1618-02-27,Heidelberg,Solleure,,Anvers,"51.244484, 4.357603",
Miron,Sainte-Catherine,1618-03-21,Solleure,Heidelberg,,Metz,"49.120809, 6.173918",
Miron,Sainte-Catherine,1618-10-20,Solleure,Heidelberg,,Nancy,"48.688988, 6.175068",
Sainte-Catherine,Miron,1618-11-12,Heidelberg,Solleure,,Péronne,"49.929845, 2.935223",
Miron,Sainte-Catherine,1618-11-22,Solleure,Heidelberg,,Lyon,"45.758914, 4.844906",
Sainte-Catherine,Miron,1618-12-03,Heidelberg,Solleure,,,,
Sainte-Catherine,Miron,1618-12-17,Heidelberg,Solleure,,,,
Miron,Sainte-Catherine,1618-12-20,Solleure,Heidelberg,,,,
Miron,Sainte-Catherine,1619-01-04,Solleure,Heidelberg,,,,
Miron,Sainte-Catherine,1619-03-16,Solleure,Heidelberg,,,,
Sainte-Catherine,Miron,1619-04-07,Heidelberg,Solleure,,,,
Sainte-Catherine,Miron,1619-04-16,Heidelberg,Solleure,,,,
Sainte-Catherine,Miron,1619-04-19,Heidelberg,Solleure,,,,
Miron,Sainte-Catherine,1619-04-25,Solleure,Heidelberg,,,,
Sainte-Catherine,Miron,1619-05-20,Heidelberg,Solleure,,,,
Miron,Sainte-Catherine,1619-05-25,Solleure,Heidelberg,,,,
Miron,Sainte-Catherine,1619-06-06,Solleure,Heidelberg,,,,
Sainte-Catherine,Miron,1619-06-11,Heidelberg,Solleure,,,,
Miron,Sainte-Catherine,1619-06-20,Solleure,Heidelberg,,,,
Miron,Sainte-Catherine,1619-06-24,Solleure,Heidelberg,,,,
Sainte-Catherine,Miron,1619-07-08,Heidelberg,Solleure,,,,
Miron,Sainte-Catherine,1619-07-09,Solleure,Heidelberg,,,,
Sainte-Catherine,Miron,1619-07-22,Heidelberg,Solleure,,,,
Miron,Sainte-Catherine,1619-08-01,Solleure,Heidelberg,,,,
Sainte-Catherine,Miron,1619-10-21,Heidelberg,Solleure,,,,
Castille,Sainte-Catherine,1619-11-12,Chalais,Heidelberg,,,,
Miron,Sainte-Catherine,1619-11-21,Solleure,Heidelberg,,,,
Miron,Sainte-Catherine,1619-12-26,Solleure,Heidelberg,,,,
Sainte-Catherine,Miron,1620-02-03,Heidelberg,Solleure,,,,
Miron,Sainte-Catherine,1620-02-28,Solleure,Heidelberg,,,,
Sainte-Catherine,Miron,1620-05-09,Heidelberg,Solleure,,,,
Miron,Sainte-Catherine,1620-06-11,Solleure,Heidelberg,,,,
Miron,Sainte-Catherine,1620-06-11,Solleure,Heidelberg,,,,
Baugy,Sainte-Catherine,1617-05-15,Prague,Heidelberg,,,,
Baugy,Sainte-Catherine,1617-05-27,Prague,Heidelberg,,,,
Baugy,Sainte-Catherine,1617-06-10,Prague,Heidelberg,,,,
Sainte-Catherine,Baugy,1617-06-17,Heidelberg,Vienne,,,,
Baugy,Sainte-Catherine,1617-07-03,Prague,Heidelberg,,,,
Baugy,Sainte-Catherine,1617-10-28,Prague,Heidelberg,,,,
Sainte-Catherine,Baugy,1617-11-16,Heidelberg,Vienne,,,,
Baugy,Sainte-Catherine,1617-12-02,Prague,Heidelberg,,,,
Baugy,Sainte-Catherine,1618-01-30,Neustadt,Heidelberg,,,,
Sainte-Catherine,Baugy,1618-01-12,Heidelberg,Vienne,,,,
Baugy,Sainte-Catherine,1618-03-21,Vienne,Heidelberg,,,,
Baugy,Sainte-Catherine,1618-06-13,Vienne,Heidelberg,,,,
Baugy,Sainte-Catherine,1618-10-03,Vienne,Heidelberg,,,,
Baugy,Sainte-Catherine,1618-11-07,Vienne,Heidelberg,,,,
Baugy,Sainte-Catherine,1618-12-19,Vienne,Heidelberg,,,,
Sainte-Catherine,Baugy,1619-01-26,Heidelberg,Vienne,,,,
Baugy,Sainte-Catherine,1619-01-30,Vienne,Heidelberg,,,,
Baugy,Sainte-Catherine,1619-02-27,Vienne,Heidelberg,,,,
Baugy,Sainte-Catherine,1619-06-26,Vienne,Heidelberg,,,,
Sainte-Catherine,Baugy,1619-06-15,Heidelberg,Vienne,,,,
Sainte-Catherine,Baugy,1619-06-29,Heidelberg,Vienne,,,,
Baugy,Sainte-Catherine,1619-07-10,Vienne,Heidelberg,,,,
Sainte-Catherine,Baugy,1619-07-13,Heidelberg,Vienne,,,,
Baugy,Sainte-Catherine,1619-07-24,Vienne,Heidelberg,,,,
Baugy,Sainte-Catherine,1619-07-31,Vienne,Heidelberg,,,,
Baugy,Sainte-Catherine,1619-09-05,Francfort,Heidelberg,,,,
Baugy,Sainte-Catherine,1619-09-08,Vienne,Heidelberg,,,,
Baugy,Péricard,1619-09-13,Vienne,Bruxelles,,,,
Baugy,Sainte-Catherine,1619-09-27,Francfort,Heidelberg,,,,
Sainte-Catherine,Baugy,1619-10-05,Heidelberg,Vienne,,,,
Baugy,Sainte-Catherine,1619-11-13,Vienne,Heidelberg,,,,
Sainte-Catherine,Baugy,1620-01-24,Heidelberg,Vienne,,,,
Baugy,Sainte-Catherine,1620-02-20,Vienne,Heidelberg,,,,
Sainte-Catherine,Baugy,1620-03-01,Heidelberg,Vienne,,,,
Baugy,Sainte-Catherine,1620-03-18,Vienne,Heidelberg,,,,
Baugy,Duc d'Angoulême,1620-06-01,Vienne,Ulm,,,,
Courtin de Villiers,Baugy,1620-08-01,Venise,Vienne,,,,
Baugy,Courtin de Villiers,1621-02-20,Vienne,Venise,,,,
Courtin de Villiers,Baugy,1621-03-06,Venise,Vienne,,,,
