Name,Birthplace,Arrival Point,Birthdate,Gender,Position,Place of Death,Date of Death,Pic,Site,Primary,Place,Coordinates
Sara Murphy,Cincinnati,Monaco,07/11/1883,F,Tourist,Arlington,10/10/1975,http://1.bp.blogspot.com/-NbQRBTQOaqs/TeLAtpXrIlI/AAAAAAAAIzM/vYydVVXIfCQ/s640/4.jpg,,Y,Amsterdam,"52.373056, 4.892222"
Lady Victoria Hamilton,Lanarkshire,Monaco,11/12/1850,F,Aristocrat,Budapest,14/05/1922,https://upload.wikimedia.org/wikipedia/commons/a/a1/Princess_of_Monaco_MV_Hamilton.jpg,,Y,Ankara,"39.916667, 32.833333"
Ian Fleming,London,Monaco,28/05/1908,M,Author,Canterbury,12/08/1964,http://upload.wikimedia.org/wikipedia/en/f/fe/Ian_Fleming%2C_headshot.jpg,,N,Arlington,"38.880278, -77.108333"
Louis-Philippe,Paris,Monaco,06/10/1774,M,Aristocrat,Claremont,26/08/1850,http://upload.wikimedia.org/wikipedia/commons/1/13/Louis-Philippe_de_Bourbon.jpg,,N,Athens,"37.966667, 23.716667"
Carey Grant,Bristol,Monaco,18/01/1904,M,Actor,Davenport,29/11/1986,http://upload.wikimedia.org/wikipedia/commons/2/2e/Grant%2C_Cary_%28Suspicion%29_01.jpg,,N,Baden Baden,"48.762778, 8.240833"
Gustav V,Drottningholm,Monaco,16/06/1858,M,Aristocrat,Drottningholm,29/10/1950,https://upload.wikimedia.org/wikipedia/commons/0/0e/Gustaf_V_av_Sverige.jpg,,Y,Belgrade,"44.816667, 20.466667"
Aga Khan III,Karachi,Monaco,02/11/1877,M,Aristocrat,Geneva,11/07/1957,http://img.dailymail.co.uk/i/pix/2008/03_01/AgaKhanMOS_228x347.jpg,,Y,Berlin,"52.516667, 13.383333"
Leopold II,Brussels,Monaco,09/04/1835,M,Aristocrat,Laeken,17/12/1909,http://upload.wikimedia.org/wikipedia/commons/3/39/Leopold_ii_garter_knight.jpg,,Y,Bern,"46.95, 7.45"
Edward VII,London,Monaco,09/11/1841,M,Aristocrat,London,06/05/1910,https://upload.wikimedia.org/wikipedia/commons/4/44/Edward_VII_in_coronation_robes.jpg,,Y,Boston,"42.358056, -71.063611"
Hiram Maxim,Sangerville,Monaco,05/02/1840,M,Financier,London,24/11/1916,http://upload.wikimedia.org/wikipedia/commons/3/30/Maxim_portrait.jpg,,Y,Brussels,"50.85, 4.35"
Winaretta Singer,Yonkers,Monaco,08/01/1865,F,Aristocrat,London,26/11/1943,http://2.bp.blogspot.com/_dHMUkWjxiWM/SxV9Udv1fCI/AAAAAAAACDQ/OYKNcX4JtMc/s640/Nancy-Cunard.jpg,,Y,Bucharest,"44.4325, 26.103889"
Grimaldi Charles III,Paris,Monaco,08/12/1818,M,Aristocrat,Marchais Aisne,10/09/1889,http://upload.wikimedia.org/wikipedia/commons/7/7a/Karl_III_%28Monaco%29.jpg,,Y,Budapest,"47.471944, 19.050278"
Grimaldi Princesse Marie Caroline Gibert de Lametz,Coulommiers,Monaco,18/07/1793,F,Aristocrat,Monaco,25/11/1879,http://upload.wikimedia.org/wikipedia/commons/f/fd/Caroline_gibert_cl_lg.JPG,,Y,Bristol,"51.45, -2.583333"
Antony Noghes,Py,Monaco,13/09/1890,M,Monegasque,Monaco,02/07/1978,http://1.bp.blogspot.com/-Dxjzzc8sHkc/UXlMTh10_bI/AAAAAAAAAII/CCoUvPZ-K_0/s1600/Anthony+Nogh%C3%A8s.jpg,,Y,Canterbury,"51.275, 1.087"
Basil Zaharoff,Mugla,Monaco,06/10/1849,M,Financier,Monaco,27/11/1936,http://public.media.smithsonianmag.com/legacy_blog/Zaharoff.jpg,,Y,Chudovsky,"59.133333, 31.666667"
Grace Kelly,Philadelphia,Monaco,12/11/1929,F,"Actor, Aristocrat",Monaco,12/09/1982,https://upload.wikimedia.org/wikipedia/commons/f/fc/Kelly%2C_Grace_%28Rear_Window%29.jpg,,Y,Cincinnati,"39.1, -84.516667"
Grimaldi Louis II,Baden Baden,Monaco,12/07/1870,M,Aristocrat,Monaco,09/05/1949,http://3.bp.blogspot.com/-vyqJmXjsP_Q/TZnFCGm_ISI/AAAAAAAAEg4/jX5fGh0c0Iw/s320/louis2sq.jpg,,Y,Claremont,"51.359444, -0.368333"
Grimaldi Prince Rainier III,Monaco,Monaco,31/05/1923,M,Aristocrat,Monaco,06/04/2005,http://upload.wikimedia.org/wikipedia/commons/5/53/Prince_Rainier_III.jpg,,Y,Constantine,"36.35, 6.6"
Grimaldi Princesse Antoinette Baroness of Massy,Paris,Monaco,28/12/1920,F,Aristocrat,Monaco,18/03/2011,http://upload.wikimedia.org/wikipedia/commons/5/5d/Antonieta_y_Raniero.jpg,,Y,Copenhagen,"55.676111, 12.568333"
Henri Schmit,Reims,Monaco,1851,M,Consultant,Monaco,1904,http://upload.wikimedia.org/wikipedia/commons/a/ab/WALDST3.jpg,,Y,Coulommiers,"48.8247, 3.1068"
Hippolyte de Villemessant,Rouen,Monaco,22/04/1810,M,Journalist,Monaco,12/04/1879,http://upload.wikimedia.org/wikipedia/commons/a/a7/HippolyteVillemessant.jpg,,Y,Courthezon,"44.0883, 4.8847"
Leon Radziwill,Saint Cloud,Monaco,06/09/1880,M,Financier,Monaco,02/03/1927,http://upload.wikimedia.org/wikipedia/commons/a/ab/WALDST3.jpg,,Y,Davenport,"41.543056, -90.590833"
Raoul Gunsbourg,Bucharest,Monaco,06/01/1860,M,"Artist, Consultant",Monaco,31/05/1955,http://www.opera.mc/graphx/side_historique_3.jpg,,Y,Drottningholm,"59.321667, 17.886111"
Pablo Picasso,Malaga,Monaco,25/10/1881,M,Artist,Mougins,08/04/1973,http://upload.wikimedia.org/wikipedia/en/4/41/Portrait_of_Pablo_Picasso%2C_1908-1909%2C_anonymous_photographer%2C_Mus%C3%A9e_Picasso%2C_Paris...jpg,,Y,Foix,"42.965556, 1.606944"
